"Fecha","Unidades"
2014-11-12,1252
2014-11-13,1341
2014-11-14,1414
2014-11-15,348
2014-11-16,3
2014-11-17,35
2014-11-18,1101
2014-11-19,1267
2014-11-20,1315
2014-11-21,1376
2014-11-22,378
2014-11-23,3
2014-11-24,908
2014-11-25,1212
2014-11-26,1412
2014-11-27,1474
2014-11-28,1597
2014-11-29,527
2014-11-30,5
2014-12-01,1050
2014-12-02,1400
2014-12-03,1566
2014-12-04,1697
2014-12-05,1817
2014-12-06,526
2014-12-07,5
2014-12-08,50
2014-12-09,1636
2014-12-10,1923
2014-12-11,2049
2014-12-12,2205
2014-12-13,622
2014-12-14,5
2014-12-15,1220
2014-12-16,1667
2014-12-17,2028
2014-12-18,2162
2014-12-19,2290
2014-12-20,634
2014-12-21,5
2014-12-22,1319
2014-12-23,1716
2014-12-24,1581
2014-12-25,76
2014-12-26,2420
2014-12-27,677
2014-12-28,6
2014-12-29,1732
2014-12-30,2112
2014-12-31,2229
2015-01-01,32
2015-01-02,773
2015-01-03,259
2015-01-04,2
2015-01-05,574
2015-01-06,739
2015-01-07,836
2015-01-08,939
2015-01-09,1075
2015-01-10,317
2015-01-11,3
2015-01-12,32
2015-01-13,920
2015-01-14,1129
2015-01-15,993
2015-01-16,1055
2015-01-17,317
2015-01-18,3
2015-01-19,748
2015-01-20,945
2015-01-21,1113
2015-01-22,1071
2015-01-23,1113
2015-01-24,343
2015-01-25,3
2015-01-26,804
2015-01-27,1038
2015-01-28,1208
2015-01-29,1487
2015-01-30,1669
2015-01-31,462
2015-02-01,3
2015-02-02,641
2015-02-03,796
2015-02-04,943
2015-02-05,1022
2015-02-06,1076
2015-02-07,316
2015-02-08,3
2015-02-09,750
2015-02-10,906
2015-02-11,1100
2015-02-12,1129
2015-02-13,1199
2015-02-14,354
2015-02-15,3
2015-02-16,728
2015-02-17,898
2015-02-18,1046
2015-02-19,1105
2015-02-20,1176
2015-02-21,349
2015-02-22,3
2015-02-23,782
2015-02-24,971
2015-02-25,1156
2015-02-26,1269
2015-02-27,1370
2015-02-28,378
2015-03-01,3
2015-03-02,690
2015-03-03,853
2015-03-04,1010
2015-03-05,1078
2015-03-06,1162
2015-03-07,339
2015-03-08,3
2015-03-09,794
2015-03-10,994
2015-03-11,1164
2015-03-12,1236
2015-03-13,1297
2015-03-14,386
2015-03-15,3
2015-03-16,773
2015-03-17,965
2015-03-18,1107
2015-03-19,1195
2015-03-20,1282
2015-03-21,376
2015-03-22,3
2015-03-23,34
2015-03-24,999
2015-03-25,1205
2015-03-26,1368
2015-03-27,1421
2015-03-28,408
2015-03-29,4
2015-03-30,1208
2015-03-31,1456
2015-04-01,910
2015-04-02,37
2015-04-03,38
2015-04-04,294
2015-04-05,3
2015-04-06,748
2015-04-07,924
2015-04-08,1078
2015-04-09,1183
2015-04-10,1244
2015-04-11,351
2015-04-12,3
2015-04-13,892
2015-04-14,1051
2015-04-15,1010
2015-04-16,883
2015-04-17,891
2015-04-18,305
2015-04-19,3
2015-04-20,744
2015-04-21,937
2015-04-22,1027
2015-04-23,1203
2015-04-24,1234
2015-04-25,376
2015-04-26,3
2015-04-27,908
2015-04-28,1135
2015-04-29,1658
2015-04-30,1307
2015-05-01,36
2015-05-02,282
2015-05-03,3
2015-05-04,685
2015-05-05,846
2015-05-06,984
2015-05-07,1075
2015-05-08,1115
2015-05-09,332
2015-05-10,3
2015-05-11,783
2015-05-12,990
2015-05-13,1145
2015-05-14,1229
2015-05-15,1100
2015-05-16,328
2015-05-17,3
2015-05-18,33
2015-05-19,973
2015-05-20,1113
2015-05-21,1209
2015-05-22,1167
2015-05-23,352
2015-05-24,3
2015-05-25,827
2015-05-26,1062
2015-05-27,1305
2015-05-28,1377
2015-05-29,1737
2015-05-30,480
2015-05-31,4
2015-06-01,594
2015-06-02,781
2015-06-03,918
2015-06-04,996
2015-06-05,1058
2015-06-06,316
2015-06-07,3
2015-06-08,31
2015-06-09,925
2015-06-10,1038
2015-06-11,1126
2015-06-12,1146
2015-06-13,361
2015-06-14,3
2015-06-15,30
2015-06-16,909
2015-06-17,1033
2015-06-18,1083
2015-06-19,1145
2015-06-20,342
2015-06-21,3
2015-06-22,689
2015-06-23,912
2015-06-24,1100
2015-06-25,1231
2015-06-26,1382
2015-06-27,383
2015-06-28,4
2015-06-29,43
2015-06-30,1214
2015-07-01,914
2015-07-02,997
2015-07-03,1038
2015-07-04,316
2015-07-05,3
2015-07-06,763
2015-07-07,959
2015-07-08,1104
2015-07-09,1204
2015-07-10,1253
2015-07-11,373
2015-07-12,4
2015-07-13,899
2015-07-14,1111
2015-07-15,1067
2015-07-16,1172
2015-07-17,1201
2015-07-18,365
2015-07-19,3
2015-07-20,36
2015-07-21,1087
2015-07-22,1172
2015-07-23,1282
2015-07-24,1355
2015-07-25,406
2015-07-26,4
2015-07-27,980
2015-07-28,1232
2015-07-29,1729
2015-07-30,1792
2015-07-31,1904
2015-08-01,286
2015-08-02,3
2015-08-03,687
2015-08-04,848
2015-08-05,1022
2015-08-06,866
2015-08-07,40
2015-08-08,313
2015-08-09,3
2015-08-10,774
2015-08-11,940
2015-08-12,1159
2015-08-13,1248
2015-08-14,1280
2015-08-15,316
2015-08-16,3
2015-08-17,31
2015-08-18,915
2015-08-19,1037
2015-08-20,1170
2015-08-21,1256
2015-08-22,341
2015-08-23,3
2015-08-24,820
2015-08-25,1060
2015-08-26,1255
2015-08-27,1373
2015-08-28,1488
2015-08-29,472
2015-08-30,4
2015-08-31,1127
2015-09-01,817
2015-09-02,1005
2015-09-03,1057
2015-09-04,1093
2015-09-05,326
2015-09-06,3
2015-09-07,791
2015-09-08,957
2015-09-09,1159
2015-09-10,1206
2015-09-11,1247
2015-09-12,375
2015-09-13,3
2015-09-14,887
2015-09-15,939
2015-09-16,1121
2015-09-17,1154
2015-09-18,1210
2015-09-19,359
2015-09-20,3
2015-09-21,862
2015-09-22,997
2015-09-23,1181
2015-09-24,1310
2015-09-25,1392
2015-09-26,407
2015-09-27,4
2015-09-28,1004
2015-09-29,1522
2015-09-30,1620
2015-10-01,924
2015-10-02,947
2015-10-03,287
2015-10-04,3
2015-10-05,692
2015-10-06,869
2015-10-07,1049
2015-10-08,1013
2015-10-09,1171
2015-10-10,325
2015-10-11,3
2015-10-12,32
2015-10-13,943
2015-10-14,1082
2015-10-15,1026
2015-10-16,1090
2015-10-17,320
2015-10-18,3
2015-10-19,779
2015-10-20,966
2015-10-21,1153
2015-10-22,1132
2015-10-23,1198
2015-10-24,351
2015-10-25,3
2015-10-26,861
2015-10-27,1084
2015-10-28,1327
2015-10-29,1632
2015-10-30,1845
2015-10-31,473
2015-11-01,2
2015-11-02,26
2015-11-03,744
2015-11-04,853
2015-11-05,947
2015-11-06,998
2015-11-07,297
2015-11-08,3
2015-11-09,690
2015-11-10,798
2015-11-11,1016
2015-11-12,1121
2015-11-13,1182
2015-11-14,342
2015-11-15,3
2015-11-16,29
2015-11-17,839
2015-11-18,1012
2015-11-19,1075
2015-11-20,1181
2015-11-21,341
2015-11-22,3
2015-11-23,771
2015-11-24,956
2015-11-25,1150
2015-11-26,1294
2015-11-27,1411
2015-11-28,381
2015-11-29,4
2015-11-30,1024
2015-12-01,952
2015-12-02,1145
2015-12-03,1212
2015-12-04,1295
2015-12-05,365
2015-12-06,3
2015-12-07,780
2015-12-08,43
2015-12-09,1340
2015-12-10,1544
2015-12-11,1705
2015-12-12,452
2015-12-13,4
2015-12-14,1138
2015-12-15,1218
2015-12-16,1473
2015-12-17,1671
2015-12-18,1772
2015-12-19,465
2015-12-20,4
2015-12-21,1136
2015-12-22,1448
2015-12-23,1550
2015-12-24,1273
2015-12-25,60
2015-12-26,484
2015-12-27,5
2015-12-28,1132
2015-12-29,2115
2015-12-30,1836
2015-12-31,1717
2016-01-01,29
2016-01-02,214
2016-01-03,2
2016-01-04,529
2016-01-05,672
2016-01-06,776
2016-01-07,796
2016-01-08,859
2016-01-09,256
2016-01-10,2
2016-01-11,27
